alert_id,transaction_id,alert_type,alert_date,resolved,resolution_date,remarks
alert134117,txn10034117,frequent_failure,2025-08-03 13:29,FALSE,,Strategy forward the risk necessary company ready.
alert183925,txn10083925,frequent_failure,2024-10-09 09:41,TRUE,2024-10-11 02:41:15,Art do federal short.
alert163439,txn10063439,unusual_time,2025-02-23 01:23,TRUE,2025-02-24 10:23:56,Age board fine participant join.
alert164967,txn10064967,frequent_failure,2025-07-08 21:50,TRUE,2025-07-09 19:50:17,Among doctor much physical interest catch.
alert159661,txn10059661,frequent_failure,2025-08-02 22:59,TRUE,2025-08-05 07:59:36,Would catch themselves be represent why decade.
alert180006,txn10080006,unusual_amount,2025-03-05 13:01,TRUE,2025-03-06 20:01:59,Democrat class ago such story cold environmental tax.
alert130778,txn10030778,unusual_amount,2025-08-03 22:53,TRUE,2025-08-06 08:06:42,Anyone onto style science then Republican black myself.
alert122322,txn10022322,unusual_amount,2021-12-18 21:00,TRUE,2021-12-19 18:00:55,Write anyone capital national.
alert155954,txn10055954,unusual_amount,2025-06-08 02:15,FALSE,,Realize mention grow several season husband their.
alert140444,txn10040444,suspicious_login,2025-07-09 03:05,FALSE,,Everybody team effect purpose series imagine name.
alert173510,txn10073510,suspicious_login,2025-07-19 11:07,TRUE,2025-07-19 23:07:30,Price front summer score artist defense.
alert172416,txn10072416,unusual_time,2023-11-20 04:16,TRUE,2023-11-22 17:16:20,Score may reality compare almost impact college address.
alert182690,txn10082690,unusual_time,2024-05-17 21:04,TRUE,2024-05-18 03:04:18,Attention final model ability simple response stock.
alert156982,txn10056982,frequent_failure,2024-06-09 21:28,TRUE,2024-06-11 13:28:13,Break report fear for officer.
alert121922,txn10021922,unusual_time,2025-07-15 09:36,TRUE,2025-07-15 12:36:47,Century class enjoy.
alert190191,txn10090191,suspicious_login,2025-06-18 07:10,TRUE,2025-06-19 07:10:07,Represent happen child allow nice member along.
alert132693,txn10032693,suspicious_login,2025-08-05 16:21,TRUE,2025-08-05 18:21:06,Believe western head democratic mission she daughter.
alert162262,txn10062262,unusual_time,2025-07-30 05:00,TRUE,2025-08-02 04:00:02,Pay true for contain.
alert143058,txn10043058,suspicious_login,2025-08-05 05:08,FALSE,,Official billion sign prepare them while stop.
alert172962,txn10072962,frequent_failure,2024-05-23 05:49,FALSE,,I computer mention lay area under its.
alert111288,txn10011288,frequent_failure,2025-07-19 20:21,FALSE,,Including have accept until.
alert190757,txn10090757,frequent_failure,2024-05-02 06:13,TRUE,2024-05-02 11:13:55,Specific case his increase lose.
