transaction_id,upi_id,customer_id,timestamp,amount,transaction_type,merchant_id,counterparty_upi,status,device_id,device_type,channel,fraud_flag,reversal_flag,failure_reason
txn10000000,marisa9078@upi,cust101488,2025-06-04 21:36,9.88,send,,user6545@upi,success,dev101488,feature_phone,app,FALSE,FALSE,
txn10000001,michelle5950@upi,cust107876,2025-05-22 04:26,76.25,receive,,user3199@upi,success,dev107876,ios,app,FALSE,FALSE,
txn10000002,jeffery4732@upi,cust100901,2025-08-02 02:34,26.44,merchant_payment,merch1113,user4690@upi,success,dev100901,android,intent,FALSE,FALSE,
txn10000003,troy1833@upi,cust105890,2025-01-30 03:53,84.43,send,,user1982@upi,success,dev105890,tablet,qr_code,FALSE,FALSE,
txn10000004,tammy4986@upi,cust106780,2025-07-05 21:36,10.33,receive,,user4914@upi,success,dev106780,tablet,qr_code,FALSE,FALSE,
txn10000005,michael9604@upi,cust102097,2025-04-02 10:32,37.61,send,,user7131@upi,success,dev201416,ios,qr_code,FALSE,FALSE,
txn10000006,stephanie3115@upi,cust108896,2024-07-30 03:10,77.74,send,,user3421@upi,failed,dev108896,feature_phone,app,FALSE,TRUE,incorrect_pin
txn10000007,savannah6574@upi,cust102418,2025-08-05 11:36,47.46,receive,,user4029@upi,success,dev102418,tablet,intent,FALSE,FALSE,
txn10000008,emily5320@upi,cust109937,2025-05-10 08:12,19.94,merchant_payment,merch1140,user8134@upi,success,dev109937,android,qr_code,FALSE,FALSE,
txn10000009,benjamin6424@upi,cust108084,2024-12-24 02:50,13.95,receive,,user9463@upi,success,dev200757,feature_phone,qr_code,FALSE,FALSE,
txn10000010,jeffrey9510@upi,cust104201,2024-08-10 04:21,12.03,merchant_payment,merch1035,user5433@upi,success,dev104201,tablet,intent,FALSE,FALSE,
txn10000011,karen1926@upi,cust106710,2024-07-17 19:10,7.54,receive,,user7367@upi,failed,dev106710,ios,app,FALSE,FALSE,network_error
txn10000012,adam2499@upi,cust108255,2023-02-07 20:03,17.88,bill_pay,merch1488,user3042@upi,success,dev108255,tablet,qr_code,FALSE,FALSE,
txn10000013,joshua9087@upi,cust104017,2025-06-25 12:09,41.57,send,,user3332@upi,failed,dev104017,feature_phone,intent,FALSE,TRUE,incorrect_pin
txn10000014,angel2795@upi,cust108920,2025-07-06 15:50,12.38,merchant_payment,merch1104,user3678@upi,success,dev201752,feature_phone,intent,FALSE,FALSE,
txn10000015,justin9493@upi,cust109657,2023-11-19 22:17,32.62,receive,,user2990@upi,success,dev109657,tablet,qr_code,FALSE,FALSE,
txn10000016,angela8155@upi,cust107334,2025-05-16 08:10,24.83,receive,,user6925@upi,success,dev107334,android,qr_code,FALSE,FALSE,
txn10000017,casey9434@upi,cust107127,2025-04-14 03:33,12.49,send,,user9015@upi,success,dev107127,feature_phone,intent,FALSE,FALSE,
txn10000018,william1809@upi,cust107688,2025-07-20 17:49,133.83,receive,,user7588@upi,success,dev107688,android,qr_code,FALSE,FALSE,
txn10000019,james2860@upi,cust107713,2025-04-30 10:39,40.74,receive,,user9681@upi,success,dev107713,android,intent,FALSE,FALSE,
txn10000020,tommy5467@upi,cust106600,2025-07-07 18:29,17.28,send,,user5235@upi,success,dev106600,tablet,app,FALSE,FALSE,
txn10000021,justin9329@upi,cust102416,2025-07-31 07:07,28.74,send,,user7110@upi,success,dev102416,android,intent,FALSE,FALSE,
txn10000022,joan6986@upi,cust107933,2025-06-28 15:45,172.12,receive,,user2548@upi,failed,dev107933,android,app,TRUE,FALSE,incorrect_pin
txn10000023,shawn9424@upi,cust102345,2024-03-05 04:24,29.79,receive,,user3226@upi,success,dev102345,android,intent,FALSE,FALSE,
txn10000024,mary3723@upi,cust104083,2024-01-25 19:54,34.99,receive,,user8425@upi,success,dev104083,tablet,intent,FALSE,FALSE,
txn10000025,laurie8534@upi,cust100289,2025-03-13 05:02,10,receive,,user7309@upi,success,dev100289,ios,qr_code,FALSE,FALSE,
txn10000026,ryan5159@upi,cust106149,2024-11-14 07:36,13.79,receive,,user4650@upi,success,dev106149,ios,qr_code,FALSE,FALSE,
txn10000027,jonathan9878@upi,cust108539,2025-02-14 23:36,62.5,receive,,user8212@upi,success,dev108539,tablet,qr_code,FALSE,FALSE,
txn10000028,elizabeth2586@upi,cust101429,2024-05-27 10:44,14.09,receive,,user2607@upi,success,dev101429,ios,app,FALSE,FALSE,
txn10000029,michael8794@upi,cust106987,2025-07-22 12:10,26.84,merchant_payment,merch1419,user3454@upi,success,dev106987,tablet,intent,FALSE,FALSE,
txn10000030,carmen7901@upi,cust104066,2023-04-25 09:47,31.04,send,,user3762@upi,success,dev104066,tablet,intent,FALSE,FALSE,
txn10000031,daniel6848@upi,cust101638,2025-04-24 16:46,35.75,receive,,user1069@upi,success,dev101638,tablet,intent,FALSE,FALSE,
txn10000032,jeffrey8859@upi,cust102374,2025-01-27 01:16,8.43,receive,,user9754@upi,success,dev201610,feature_phone,intent,FALSE,FALSE,
txn10000033,christopher9985@upi,cust104731,2025-07-31 08:52,45.41,receive,,user4605@upi,success,dev104731,feature_phone,intent,FALSE,FALSE,
txn10000034,katherine1441@upi,cust105661,2025-06-05 16:14,16.28,receive,,user7160@upi,success,dev105661,ios,qr_code,FALSE,FALSE,
txn10000035,melanie2636@upi,cust102313,2024-09-01 09:30,20.1,merchant_payment,merch1172,user5407@upi,success,dev102313,android,qr_code,FALSE,FALSE,
txn10000036,oscar8502@upi,cust104400,2025-08-01 10:15,41.77,send,,user3089@upi,success,dev104400,android,intent,FALSE,FALSE,
txn10000037,tina5645@upi,cust109117,2024-08-17 06:36,157.07,merchant_payment,merch1102,user6241@upi,success,dev109117,ios,app,FALSE,FALSE,
txn10000038,alfred6017@upi,cust101419,2025-07-15 20:30,37.54,merchant_payment,merch1160,user6938@upi,success,dev101419,android,app,FALSE,FALSE,
txn10000039,amy5786@upi,cust105838,2024-08-29 02:48,32.24,merchant_payment,merch1074,user3441@upi,success,dev105838,feature_phone,intent,FALSE,FALSE,
txn10000040,connor9511@upi,cust102412,2025-07-18 18:40,34.02,receive,,user6200@upi,success,dev102412,ios,qr_code,FALSE,FALSE,
txn10000041,seth3997@upi,cust102605,2023-12-05 17:26,46.37,send,,user8078@upi,success,dev102605,ios,qr_code,FALSE,FALSE,
txn10000042,jessica5895@upi,cust104353,2025-01-12 21:06,23.59,merchant_payment,merch1277,user4079@upi,success,dev104353,ios,qr_code,FALSE,FALSE,
txn10000043,donald1401@upi,cust104130,2025-06-16 08:33,186.89,receive,,user9086@upi,failed,dev104130,tablet,app,FALSE,TRUE,network_error
txn10000044,samuel8369@upi,cust103382,2025-08-03 06:56,39.08,send,,user7610@upi,success,dev103382,ios,intent,FALSE,FALSE,
txn10000045,erica3896@upi,cust103676,2022-04-20 07:51,25.9,merchant_payment,merch1330,user7936@upi,success,dev103676,feature_phone,intent,FALSE,FALSE,
txn10000046,judy4284@upi,cust103414,2025-03-11 14:00,28.63,receive,,user5603@upi,success,dev103414,android,app,FALSE,FALSE,
txn10000047,taylor1757@upi,cust102624,2025-03-30 13:00,10.19,merchant_payment,merch1430,user3594@upi,success,dev102624,ios,app,FALSE,FALSE,
txn10000048,douglas1532@upi,cust107817,2025-05-23 07:22,20.17,receive,,user4572@upi,success,dev107817,tablet,intent,FALSE,FALSE,
txn10000049,daniel9315@upi,cust105350,2025-06-24 03:34,49.69,receive,,user6818@upi,success,dev105350,android,intent,FALSE,FALSE,
txn10000050,morgan8488@upi,cust109700,2024-06-15 03:46,16.43,send,,user6549@upi,success,dev109700,ios,app,FALSE,FALSE,
txn10000051,mrs.7319@upi,cust109893,2024-09-29 03:20,23.42,send,,user4759@upi,success,dev200666,tablet,qr_code,FALSE,FALSE,
txn10000052,david3060@upi,cust107312,2024-10-06 00:31,20.27,merchant_payment,merch1382,user1475@upi,success,dev107312,ios,intent,TRUE,FALSE,
txn10000053,francisco5579@upi,cust104904,2025-07-28 10:32,27.35,send,,user2239@upi,success,dev104904,feature_phone,qr_code,FALSE,FALSE,
txn10000054,sandra9329@upi,cust108910,2025-05-25 18:12,82.82,send,,user2606@upi,success,dev108910,feature_phone,intent,FALSE,FALSE,
txn10000055,nicole9384@upi,cust101767,2022-10-06 10:35,30.15,send,,user3160@upi,success,dev101767,ios,intent,FALSE,FALSE,
txn10000056,michael3482@upi,cust105719,2025-06-23 11:26,37.02,send,,user3292@upi,success,dev105719,tablet,app,FALSE,FALSE,
txn10000057,jill7139@upi,cust100784,2024-08-17 12:57,26.17,receive,,user7433@upi,success,dev100784,tablet,intent,FALSE,FALSE,
txn10000058,kyle1974@upi,cust106758,2025-03-05 10:32,35.8,merchant_payment,merch1331,user4306@upi,success,dev106758,ios,intent,FALSE,FALSE,
txn10000059,calvin8069@upi,cust108687,2025-02-17 08:02,57.88,receive,,user3574@upi,failed,dev108687,feature_phone,app,FALSE,FALSE,incorrect_pin
txn10000060,laura8944@upi,cust107141,2025-02-27 23:09,147.81,receive,,user2722@upi,success,dev107141,tablet,qr_code,FALSE,FALSE,
txn10000061,rachael8295@upi,cust100015,2025-05-13 13:00,31.14,send,,user4741@upi,success,dev100015,feature_phone,app,FALSE,FALSE,
txn10000062,lorraine7897@upi,cust101352,2024-08-07 14:04,18.19,send,,user5205@upi,success,dev101352,feature_phone,intent,FALSE,FALSE,
txn10000063,kevin7936@upi,cust105094,2025-07-11 10:14,26.96,receive,,user3529@upi,success,dev105094,ios,qr_code,FALSE,FALSE,
txn10000064,melissa5149@upi,cust102403,2025-05-11 23:30,17.25,merchant_payment,merch1001,user1406@upi,success,dev102403,ios,qr_code,FALSE,FALSE,
txn10000065,tina5872@upi,cust103395,2025-06-23 19:24,14.32,send,,user8301@upi,success,dev103395,ios,qr_code,FALSE,FALSE,
txn10000066,jennifer9184@upi,cust101348,2025-02-24 02:32,50.58,merchant_payment,merch1381,user5233@upi,success,dev101348,feature_phone,app,FALSE,FALSE,
txn10000067,jimmy7594@upi,cust101930,2025-02-20 19:32,43.62,send,,user6914@upi,success,dev101930,android,intent,TRUE,FALSE,
txn10000068,rebecca8982@upi,cust103640,2025-02-05 17:16,26.34,send,,user6498@upi,success,dev103640,ios,intent,FALSE,FALSE,
txn10000069,sharon4557@upi,cust107118,2025-07-25 14:20,11.32,send,,user2587@upi,success,dev107118,android,intent,FALSE,FALSE,
